Date,User_ID,Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Calculated_Calories
2024-09-11,496,Eggs,Meat,143,13.0,0.7,10.0,0.0,12.7,752,125,Lunch,478,517.9
2024-12-17,201,Apple,Fruits,52,0.3,14.0,0.2,2.4,12.2,680,97,Lunch,466,240.8
2024-06-09,776,Chicken Breast,Meat,165,31.0,0.0,3.6,0.0,44.7,295,157,Breakfast,635,657.0
2024-08-27,112,Banana,Fruits,89,1.1,23.0,0.3,2.6,44.1,307,13,Snack,379,506.9
2024-07-28,622,Banana,Fruits,89,1.1,23.0,0.3,2.6,19.4,358,148,Lunch,471,861.8
2024-01-19,620,Oats,Grains,389,17.0,66.0,7.0,10.0,0.7,300,244,Dinner,727,507.5
2024-07-27,714,Carrot,Vegetables,41,0.9,10.0,0.2,2.8,37.8,933,15,Dinner,733,344.2
2024-10-21,992,Cookies,Snacks,502,6.0,65.0,24.0,2.3,36.4,185,228,Snack,386,353.4
2024-07-23,535,Apple,Fruits,52,0.3,14.0,0.2,2.4,46.9,336,129,Breakfast,931,265.4
2024-09-08,594,Quinoa,Grains,120,4.4,21.0,1.9,2.8,40.3,887,135,Snack,662,614.2
2024-01-01,856,Oats,Grains,389,17.0,66.0,7.0,10.0,44.7,530,194,Lunch,624,327.8
2024-07-13,621,Tomato,Vegetables,18,0.9,3.9,0.2,1.2,18.5,66,180,Dinner,799,312.5
2024-08-28,74,Orange Juice,Beverages,45,0.7,10.0,0.2,0.2,42.4,500,250,Snack,661,291.3
2024-03-07,634,Cookies,Snacks,502,6.0,65.0,24.0,2.3,31.3,342,225,Lunch,607,479.5
2024-08-23,151,Beef Steak,Meat,271,26.0,0.0,19.0,0.0,24.6,180,68,Lunch,724,324.2
2024-07-02,863,Pork Chop,Meat,242,27.0,0.0,14.0,0.0,27.6,134,88,Lunch,421,507.1
2024-07-13,651,Oats,Grains,389,17.0,66.0,7.0,10.0,37.6,269,66,Lunch,338,674.9
2024-02-23,770,Grapes,Fruits,69,0.7,18.0,0.2,0.9,20.3,507,76,Breakfast,463,794.4000000000001
2024-10-03,986,Milkshake,Beverages,112,3.4,18.0,3.0,0.0,17.5,305,17,Lunch,618,542.0
2024-12-16,660,Eggs,Meat,143,13.0,0.7,10.0,0.0,28.2,373,17,Breakfast,416,397.09999999999997
2024-08-19,54,Pasta,Grains,131,5.0,25.0,0.5,1.2,43.2,653,176,Dinner,224,495.7
2024-01-11,135,Oats,Grains,389,17.0,66.0,7.0,10.0,5.1,435,70,Breakfast,255,562.3
2024-07-10,66,Orange,Fruits,47,0.9,12.0,0.1,2.4,46.8,422,260,Snack,876,830.3
2024-07-01,965,Pasta,Grains,131,5.0,25.0,0.5,1.2,2.1,322,139,Snack,786,762.7
2024-01-18,581,Nuts,Snacks,607,20.0,21.0,54.0,7.0,47.3,338,292,Breakfast,751,566.0
2024-07-09,759,Cheese,Dairy,402,25.0,0.4,33.0,0.0,43.6,744,110,Breakfast,244,450.6
2024-08-20,6,Strawberry,Fruits,32,0.7,8.0,0.3,2.0,20.0,970,263,Lunch,967,555.4
2024-10-08,386,Oats,Grains,389,17.0,66.0,7.0,10.0,18.1,452,262,Lunch,791,596.7
2024-03-23,351,Butter,Dairy,717,0.1,0.1,81.0,0.0,1.0,555,119,Breakfast,863,393.6
2024-12-09,643,Orange Juice,Beverages,45,0.7,10.0,0.2,0.2,36.7,888,171,Dinner,455,476.29999999999995
2024-11-28,98,Quinoa,Grains,120,4.4,21.0,1.9,2.8,13.0,346,57,Breakfast,452,320.5
2024-11-25,547,Rice,Grains,130,2.7,28.0,0.3,0.4,46.5,947,48,Lunch,868,518.5999999999999
2024-12-13,932,Oats,Grains,389,17.0,66.0,7.0,10.0,31.2,87,109,Breakfast,248,651.5
2024-10-19,441,Strawberry,Fruits,32,0.7,8.0,0.3,2.0,32.0,389,278,Dinner,942,541.1
2024-11-12,271,Orange,Fruits,47,0.9,12.0,0.1,2.4,8.7,21,154,Dinner,685,568.6
2024-11-12,421,Yogurt,Dairy,59,3.5,4.7,3.3,0.0,9.5,360,20,Snack,927,592.2
2024-11-05,192,Butter,Dairy,717,0.1,0.1,81.0,0.0,14.8,893,8,Snack,665,505.6
2024-01-16,191,Quinoa,Grains,120,4.4,21.0,1.9,2.8,0.8,372,184,Breakfast,823,628.0
2024-09-16,961,Beef Steak,Meat,271,26.0,0.0,19.0,0.0,44.3,864,31,Snack,846,659.3000000000001
2024-10-24,236,Apple,Fruits,52,0.3,14.0,0.2,2.4,3.9,509,289,Snack,728,717.0
2024-02-01,755,Cheese,Dairy,402,25.0,0.4,33.0,0.0,17.0,172,194,Snack,786,909.4
2024-01-27,324,Broccoli,Vegetables,34,2.8,7.0,0.4,2.6,23.5,771,138,Dinner,663,601.0999999999999
2024-12-31,369,Water,Beverages,0,0.0,0.0,0.0,0.0,44.3,525,264,Breakfast,985,601.6999999999999
2024-01-25,523,Beef Steak,Meat,271,26.0,0.0,19.0,0.0,33.1,496,82,Lunch,506,455.20000000000005
2024-05-11,23,Beef Steak,Meat,271,26.0,0.0,19.0,0.0,5.2,888,216,Snack,876,490.09999999999997
2024-06-10,395,Paneer,Dairy,265,18.0,1.2,20.0,0.0,12.4,424,10,Snack,986,596.9000000000001
2024-12-10,462,Cheese,Dairy,402,25.0,0.4,33.0,0.0,18.3,880,236,Lunch,643,369.3
2024-06-14,882,Salmon,Meat,208,22.0,0.0,13.0,0.0,47.2,423,230,Snack,470,665.5
2024-08-20,962,Grapes,Fruits,69,0.7,18.0,0.2,0.9,45.5,934,4,Breakfast,624,689.5
2024-01-09,609,Yogurt,Dairy,59,3.5,4.7,3.3,0.0,4.8,971,277,Dinner,989,180.7
2024-03-18,47,Nuts,Snacks,607,20.0,21.0,54.0,7.0,23.9,842,282,Dinner,903,636.3
2024-01-26,24,Apple,Fruits,52,0.3,14.0,0.2,2.4,44.1,343,123,Lunch,573,573.8000000000001
2024-03-30,502,Milk,Dairy,42,3.4,4.8,1.0,0.0,39.9,731,263,Dinner,491,593.5
2024-05-11,799,Salmon,Meat,208,22.0,0.0,13.0,0.0,4.1,871,289,Snack,272,589.7
2024-11-23,248,Quinoa,Grains,120,4.4,21.0,1.9,2.8,38.4,433,247,Lunch,929,773.4000000000001
2024-07-06,272,Beef Steak,Meat,271,26.0,0.0,19.0,0.0,39.1,762,102,Dinner,642,245.5
2024-02-05,812,Pork Chop,Meat,242,27.0,0.0,14.0,0.0,5.1,828,231,Snack,168,840.2
2024-04-30,658,Chicken Breast,Meat,165,31.0,0.0,3.6,0.0,28.5,587,151,Snack,232,620.9
